accountsapid,Single_Order,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Median_Days,3_years_cycle,Final_Churn,TotalOrderNumber,FirstOrderedDate,LastOrderedDate,NumQtrsPerOrder,OrderChannel_NonDigital,OrderChannel_EProcurement,OrderChannel_ECommerce,Recency,Frequency,Monetary,RFM_Score,CountryCode,Average_years_taken_per order,Orders year wise
17876.0,No,Yes,No,No,Will_Churn,Will_Churn,73.0,219.0,Will_Churn,2.0,2019-09-03,2019-11-15,1.0,Yes,No,No,664.0,3.0,625.0,10,US,3.0,Orders only in 2019
17882.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,20.0,60.0,WillNot_Churn,33.0,2019-01-29,2021-06-04,1.0,Yes,No,No,881.0,93.0,41278.0,6,US,1.0,Orders in all years
17985.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,174.0,522.0,WillNot_Churn,5.0,2019-02-07,2021-06-18,3.0,Yes,Yes,No,872.0,52.0,11097.0,6,US,1.0,Orders in all years
22286.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,21.0,63.0,WillNot_Churn,36.0,2019-01-17,2021-05-20,1.0,Yes,No,Yes,893.0,87.0,29191.16,6,CA,1.0,Orders in all years
19780.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,42.0,126.0,WillNot_Churn,16.0,2019-03-01,2021-03-31,1.0,Yes,No,No,850.0,34.0,22553.85,6,US,1.0,Orders in all years
18232.0,No,Yes,Yes,Yes,WillNot_Churn,Will_Churn,20.0,60.0,Will_Churn,23.0,2019-02-06,2021-03-18,1.0,Yes,No,No,873.0,66.0,39009.64,6,US,1.0,Orders in all years
141631.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,11.0,33.0,WillNot_Churn,35.0,2019-02-04,2021-06-17,1.0,Yes,Yes,No,875.0,296.0,145420.16999999998,6,PR,1.0,Orders in all years
19190.0,No,Yes,Yes,Yes,WillNot_Churn,WillNot_Churn,20.0,60.0,WillNot_Churn,24.0,2019-04-16,2021-06-15,1.0,Yes,No,Yes,804.0,116.0,20708.930000000004,5,US,1.0,Orders in all years
20154.0,No,Yes,No,No,Will_Churn,Will_Churn,38.0,114.0,Will_Churn,3.0,2019-02-14,2019-05-01,1.0,Yes,No,No,865.0,5.0,2013.39,10,CA,3.0,Orders only in 2019
19064.0,No,Yes,No,No,Will_Churn,Will_Churn,87.0,261.0,Will_Churn,3.0,2019-05-13,2019-11-04,2.0,Yes,No,No,777.0,5.0,1366.0,9,US,3.0,Orders only in 2019
