accountsapid,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Final_Churn,Final_churn_ProbabilityScore
1011643.0,1,0,0,1,0,1,0.9999986661450339
1018994.0,0,1,0,1,2,1,0.9877560060434901
257761.0,1,1,1,0,1,0,0.09570693973323893
830427.0,0,1,0,1,0,1,0.9955923363266951
1002923.0,1,1,1,0,1,0,0.022318114381340237
805597.0,1,1,0,1,1,0,0.0023719006454125265
152226.0,1,1,1,0,1,0,0.48231357967221034
807759.0,1,0,0,1,0,1,0.999992888854479
213099.0,1,0,0,1,2,1,0.9908602424735578
168928.0,1,0,0,1,2,1,0.9957011251597823
288055.0,0,1,0,1,0,1,0.9884507410540667
1015446.0,0,1,1,0,1,0,0.0019767184311630295
260199.0,1,0,0,1,0,1,0.9999998078297431
1023834.0,0,0,1,0,0,0,0.5053842050811912
243867.0,1,0,1,1,1,0,1.0648080131111522e-06
1018643.0,0,1,1,0,1,0,0.005697201734209938
1018018.0,0,1,0,1,2,1,0.9633150897620997
859602.0,1,0,0,1,2,1,0.9630216602685977
1019860.0,0,1,1,0,1,0,0.08219119806400005
1003649.0,0,0,1,0,2,1,0.3183692150130955
1021053.0,0,1,0,1,0,1,0.9785998965239381
251436.0,1,0,0,1,0,1,0.9999966931924307
152044.0,0,1,0,1,0,1,0.993720330859862
237243.0,1,0,0,1,0,1,0.9999651044795926
1003420.0,1,1,1,0,2,1,0.07749859951016953
164159.0,1,1,1,0,1,0,0.009971941747380033
152202.0,1,0,1,1,1,0,1.216799966866313e-06
1011986.0,1,0,0,1,0,1,0.9999993915522095
168597.0,1,0,1,1,1,0,0.00924348483645875
843521.0,1,0,1,1,1,0,0.6888630224906325
1012270.0,1,1,1,0,1,0,0.0025951905908062297
282835.0,1,1,1,0,1,0,3.5393519188029726e-06
156344.0,1,0,1,1,1,0,8.819568551519812e-06
1021588.0,0,0,1,0,1,0,0.00012388908270312646
1008669.0,1,0,0,1,2,1,0.9999952121230788
1015543.0,0,1,0,1,0,1,0.9987562163879302
156739.0,1,1,0,1,1,0,0.00010838398642844649
266687.0,0,0,1,0,0,0,0.12550313668554994
228065.0,1,0,0,1,0,1,0.9999956988517632
1020176.0,0,1,1,0,1,0,0.003148043449720115
737020.0,1,1,1,0,1,0,0.28407537984177467
873030.0,0,1,0,1,0,1,0.9292347050690863
258614.0,1,0,0,1,0,1,0.9999995732864857
1017581.0,0,1,0,1,0,1,0.997368472967467
1008191.0,1,0,0,1,0,1,0.9999975426955977
150716.0,1,1,1,0,1,0,0.09799958922119381
1012215.0,1,1,1,0,1,0,9.294663873738495e-06
706365.0,1,1,1,0,1,0,0.1634557719681669
259358.0,1,1,1,0,1,0,0.022462069089843457
1022414.0,0,0,1,0,2,1,0.00012360817603225167
162486.0,1,1,1,0,1,0,0.09707359644885077
156002.0,0,1,0,1,2,1,0.8759202846478917
267945.0,0,1,0,1,0,1,0.9894523400481957
284896.0,0,1,1,0,1,0,0.3425886368855627
1022862.0,0,0,1,0,0,0,0.45543399008465063
150727.0,1,1,1,0,1,0,0.28538913460940535
701582.0,1,1,1,0,1,0,0.0011099929173571206
866299.0,1,1,0,1,2,1,0.9587467604321774
873579.0,0,0,1,0,1,0,3.812371491050788e-06
1018055.0,0,1,1,0,1,0,1.8650776011197637e-07
1018898.0,0,1,0,1,2,1,0.9214884267280531
275122.0,0,1,1,0,1,0,0.002404739518596385
800839.0,1,0,0,1,0,1,0.9999991946084849
838703.0,1,1,1,0,1,0,0.1990086275314281
1019390.0,0,1,1,0,1,0,2.048861479990564e-06
747650.0,1,1,0,1,2,1,0.7343570668808751
772529.0,0,1,0,1,0,1,0.9229969523313876
211991.0,1,0,0,1,0,1,0.9999995264577772
1015416.0,0,1,1,0,1,0,0.0007981285053541535
712006.0,1,1,0,1,2,1,0.7046757384092869
1006730.0,1,0,0,1,0,1,0.9999942036265715
1022314.0,0,0,1,0,1,0,0.000483438282978315
1006697.0,1,0,0,1,2,1,0.8928678082660788
1004408.0,1,0,1,1,2,1,0.9110897966517285
812911.0,1,0,1,1,1,0,3.777627705293017e-07
1022210.0,0,0,1,0,1,0,1.4720277895868992e-05
836408.0,1,0,0,1,1,0,0.10633321581089869
1010130.0,1,0,0,1,2,1,0.9909869750824666
1003761.0,1,0,0,1,2,1,0.9997131774357881
155303.0,1,0,1,1,1,0,3.464323161434756e-07
1021516.0,0,0,1,0,0,0,0.04486392944340026
1020207.0,0,1,0,1,0,1,0.9996987184879882
1020733.0,0,1,0,1,0,1,0.9993876336500511
235368.0,0,0,1,0,0,0,0.006817038435735994
822236.0,1,0,1,1,1,0,0.8302472526182851
1016669.0,0,1,0,1,2,1,0.7200729190770828
280993.0,1,1,0,1,2,1,0.8667806185866225
705343.0,1,0,0,1,2,1,0.9970058925020748
153119.0,0,1,0,1,2,1,0.017989739732114828
283002.0,1,1,0,1,1,0,0.00030531040816108017
161339.0,1,0,0,1,0,1,0.9999997404768494
1002509.0,1,1,0,1,1,0,0.00027672759177861157
188363.0,1,1,0,1,2,1,0.8750493520870433
856962.0,1,1,1,0,1,0,0.1429888456950456
859633.0,1,0,0,1,0,1,0.9999983703765853
850879.0,0,1,1,0,1,0,3.7716426167334704e-06
842044.0,1,1,0,1,2,1,0.9759283866328092
1014925.0,1,0,0,1,0,1,0.9995913530561863
165533.0,1,1,1,0,1,0,0.2510145980596272
150354.0,1,1,1,0,2,1,0.41374292226371
153127.0,1,1,1,0,1,0,0.5198783195590754
161007.0,1,1,1,0,1,0,0.053350407593423965
1022234.0,0,0,1,0,0,0,0.1213112982371399
262598.0,0,1,0,1,2,1,0.9950821575291594
280513.0,1,1,0,1,1,0,0.00084586380049934
1001988.0,1,1,0,1,2,1,0.9028127120656011
221709.0,1,1,0,1,2,1,0.7618125658169692
796045.0,1,0,0,1,2,1,0.9980855206114727
262995.0,1,1,1,0,1,0,0.38902641076030986
1013889.0,1,0,0,1,0,1,0.9999967131459376
1002634.0,0,1,0,1,0,1,0.9994276155171249
215372.0,0,1,0,1,0,1,0.9995333156539574
285591.0,0,1,1,0,1,0,0.00022077591759277367
816462.0,1,1,1,0,1,0,0.18810256719632562
152642.0,1,1,0,1,2,1,0.9870194459337696
208397.0,1,0,0,1,0,1,0.9999979288077221
1011733.0,1,0,0,1,2,1,0.9998860337726642
1009707.0,1,1,0,1,1,0,0.15013346095828758
1007569.0,1,1,1,0,1,0,0.26836734696718667
150622.0,1,0,0,1,0,1,0.9999993322418645
152755.0,0,1,0,1,2,1,0.6881094230562671
158891.0,1,1,1,0,2,1,0.6452044379928504
196644.0,1,0,0,1,0,1,0.9999993578586586
246419.0,0,1,0,1,0,1,0.9993829316377969
833033.0,1,0,1,1,2,1,0.12894670734581173
1018647.0,0,1,0,1,2,1,0.08210236654603241
1010968.0,0,0,1,0,0,0,0.19492964800472865
243526.0,1,1,1,0,2,1,0.47789652853390885
1018154.0,0,1,0,1,0,1,0.9982121105606124
157400.0,1,1,1,0,1,0,7.716702173896889e-05
1020576.0,0,1,1,0,1,0,0.005025452394004774
246275.0,1,0,0,1,0,1,0.9999953386384473
164575.0,1,1,1,0,2,1,0.03145546263789775
750250.0,1,0,0,1,2,1,0.9967342862958863
1012222.0,1,0,0,1,0,1,0.9999988608240257
1005290.0,1,0,0,1,0,1,0.9999994507321742
267388.0,1,1,1,0,1,0,0.035947272350481334
202683.0,1,1,1,0,1,0,0.015576678211219247
756930.0,1,1,0,1,2,1,0.8530499777655125
207788.0,1,0,0,1,0,1,0.9999979329894892
1002583.0,1,1,1,0,1,0,0.4826288666269576
1021459.0,0,0,1,0,0,0,0.1671138489759898
204342.0,1,1,0,1,2,1,0.8899578399331801
210533.0,0,1,0,1,0,1,0.9979507420122854
1008889.0,1,0,0,1,0,1,0.9999994551612168
145678.0,1,1,1,0,2,1,0.17804189412046378
1012448.0,0,1,1,0,1,0,9.952648625636846e-07
176701.0,0,1,1,0,2,1,0.11981255431731958
160936.0,1,1,1,0,2,1,0.3505722760452775
255281.0,1,0,1,1,1,0,0.6367346503780574
701962.0,1,1,1,0,1,0,0.0021885506212448442
157202.0,0,1,0,1,0,1,0.9959390594556937
857556.0,0,0,1,0,1,0,0.002134292449612634
1013395.0,1,0,0,1,0,1,0.9999958338267526
249814.0,0,0,1,0,0,0,0.3806943412256901
837066.0,1,1,1,0,1,0,0.13436594254040066
245859.0,0,1,0,1,2,1,0.9948005394823084
155760.0,1,0,0,1,2,1,0.999822944770461
278291.0,0,1,0,1,1,0,0.0004474650835336722
240591.0,1,1,1,0,1,0,0.339726350023355
756541.0,1,1,1,0,1,0,0.24808768288605276
151546.0,1,0,1,1,1,0,0.15236986606623087
1022792.0,0,0,1,0,0,0,0.01061587100493167
146970.0,1,1,0,1,2,1,0.6276308133115951
1009366.0,1,0,0,1,0,1,0.9999942036265715
164048.0,1,1,0,1,2,1,0.8715110963222924
191793.0,1,0,0,1,2,1,0.9612830791398141
164253.0,1,0,0,1,0,1,0.9999755764104629
775237.0,1,1,0,1,1,0,0.15252272168805003
187839.0,1,0,0,1,0,1,0.999999579977593
848533.0,0,1,0,1,0,1,0.9968123965362035
286365.0,1,1,1,0,1,0,0.013027593943586727
1021812.0,0,0,1,0,0,0,0.07607100825854314
165036.0,1,0,0,1,2,1,0.9999463921923473
1018847.0,0,1,0,1,0,1,0.9995719426352648
1004896.0,0,1,0,1,2,1,0.3753988180625029
1018015.0,0,1,1,0,1,0,0.0008083001896661267
1008668.0,0,1,0,1,2,1,0.9945943120608566
1018371.0,0,1,1,0,1,0,1.8031550266620843e-08
1006275.0,1,1,1,0,1,0,0.3010160170046008
1006143.0,1,1,1,0,1,0,0.12721809816931165
268162.0,1,0,0,1,0,1,0.99998554192827
817142.0,1,0,0,1,0,1,0.9999988295106015
1004692.0,1,1,0,1,1,0,0.0884698481685935
278608.0,1,1,1,0,1,0,0.48810712201792106
194460.0,0,1,1,0,1,0,0.00016496016948052962
254904.0,1,1,1,0,2,1,0.6405516606396153
1012304.0,1,0,0,1,0,1,0.9999997210487505
159406.0,0,1,0,1,2,1,0.9854476670524277
854035.0,1,1,1,0,1,0,0.025789770742129157
708819.0,0,1,1,0,1,0,0.003334866176455059
165262.0,1,1,1,0,1,0,0.5385788763738293
1018918.0,0,1,0,1,0,1,0.5263566002677651
145956.0,1,1,1,0,1,0,0.0007792626718548215
1020719.0,0,1,1,0,1,0,0.0004152348666044679
282122.0,0,0,1,0,0,0,0.056911362593591405
1022750.0,0,0,1,0,0,0,0.4893609424013677
1017245.0,0,1,0,1,0,1,0.9965167824731348
1019856.0,0,0,1,0,0,0,0.2488047691188345
189065.0,0,1,0,1,2,1,0.9003703549467957
247141.0,1,0,0,1,0,1,0.9994675354202451
282781.0,1,1,1,0,1,0,0.13377016954013993
1019367.0,0,1,0,1,0,1,0.9996033640313905
1014455.0,1,1,0,1,1,0,0.08685318173101268
209806.0,1,1,1,0,1,0,0.0003685283756000207
776006.0,0,0,1,0,0,0,0.06321639780028972
1023582.0,0,0,1,0,0,0,0.045305227945522296
151937.0,1,1,1,0,1,0,0.3086160158952153
274381.0,0,0,1,0,0,0,0.5887117466507852
190677.0,1,0,0,1,0,1,0.9997724844059731
220583.0,1,0,1,1,1,0,5.526487319274683e-08
729595.0,1,1,0,1,1,0,0.003258923549126685
1022637.0,0,0,1,0,0,0,0.07016832936986453
1001659.0,1,1,1,0,1,0,0.20928793792782374
223331.0,0,1,0,1,0,1,0.9929849740874644
221982.0,1,1,1,0,1,0,0.2531777977613996
1022846.0,0,0,1,0,0,0,0.1450930388513313
145743.0,1,1,1,0,1,0,0.1272341385563319
223194.0,1,0,0,1,2,1,0.9952121637769907
252546.0,1,0,0,1,0,1,0.9999991989045331
840402.0,1,1,0,1,1,0,0.011131086597094636
235234.0,1,1,0,1,2,1,0.9880441737711503
1023586.0,0,0,1,0,0,0,0.1783035895140495
1014462.0,1,0,0,1,0,1,0.9999976666550041
729909.0,1,0,0,1,0,1,0.9999983355377124
863701.0,1,0,0,1,2,1,0.9997840755597637
1005398.0,1,1,1,0,1,0,0.3305122008924328
1009467.0,1,1,1,0,1,0,0.08284933882544614
1005148.0,1,0,1,1,1,0,1.10148305236047e-08
246656.0,1,1,0,1,1,0,1.277130622201391e-10
147635.0,1,1,0,1,2,1,0.9618873227517158
190777.0,0,1,0,1,0,1,0.9995195103155463
1023919.0,0,0,1,0,0,0,0.1612329098489976
157560.0,1,0,0,1,0,1,0.9999927225025964
189892.0,1,0,1,1,1,0,1.8744580200539573e-12
780090.0,0,0,1,0,1,0,0.0023504530399383996
224798.0,0,1,0,1,0,1,0.9922309503244892
162574.0,0,0,1,0,1,0,0.0006758413594267381
1006846.0,1,1,1,0,1,0,0.029788957580534813
156493.0,1,1,1,0,1,0,0.0909359330646704
277525.0,0,1,0,1,0,1,0.9210256547732683
225616.0,1,1,0,1,1,0,0.19299464105144584
282732.0,1,1,1,0,1,0,0.011577386446440201
247265.0,1,1,1,0,1,0,0.1324643660988193
282833.0,0,1,0,1,1,0,6.810076413427624e-05
153340.0,1,0,0,1,0,1,0.9999338572586447
288513.0,1,1,1,0,1,0,0.018581878564881603
214203.0,1,1,1,0,1,0,0.15986906247086521
247303.0,1,1,0,1,2,1,0.7849621889075956
172252.0,1,1,0,1,2,1,0.9512457569084861
152067.0,1,1,1,0,1,0,0.16852141529989126
176509.0,0,0,1,0,0,0,0.07498308933796088
828531.0,1,1,1,0,1,0,0.19045410018269887
144769.0,1,1,1,0,1,0,0.3688218946469439
1008195.0,0,1,0,1,0,1,0.9993410557904775
253187.0,1,1,1,0,2,1,0.14411937252029186
1007901.0,0,1,0,1,1,0,0.017718408595628267
1013039.0,1,1,1,0,2,1,0.3080692295714855
172328.0,1,0,0,1,0,1,0.9999925673688724
156977.0,1,0,0,1,0,1,0.9999961478560566
1013774.0,1,0,0,1,2,1,0.9999173705070561
1018303.0,0,1,0,1,0,1,0.9973522102604492
287090.0,1,0,0,1,0,1,0.9999981552292366
824666.0,1,1,0,1,1,0,9.045122665412999e-07
158035.0,0,0,1,0,0,0,0.07583154716332041
160635.0,1,1,1,0,1,0,0.20739613727283782
247567.0,1,0,0,1,0,1,0.9999994551612168
169449.0,1,1,0,1,2,1,0.35077037938229744
1015685.0,0,1,0,1,0,1,0.9994986464286967
1006948.0,1,1,1,0,1,0,1.922914458968886e-06
723161.0,0,1,0,1,1,0,0.00024050777492087255
267420.0,1,0,0,1,2,1,0.9999978408673353
1013012.0,1,1,1,0,1,0,0.07483885451357378
1020996.0,0,1,1,0,2,1,0.465387935901538
701943.0,1,1,0,1,1,0,3.731097017058173e-06
208129.0,1,0,0,1,2,1,0.22561327790954477
1014385.0,0,1,1,0,1,0,0.0011831149940523553
163903.0,1,1,1,0,1,0,0.12681486459560176
1013625.0,1,0,0,1,0,1,0.99999849988369
214607.0,1,1,1,0,1,0,0.00855348181937338
226661.0,1,0,0,1,0,1,0.9999928055879463
224563.0,1,1,0,1,1,0,2.4376974643620854e-05
1021902.0,0,0,1,0,1,0,0.0001516257156654111
1017613.0,0,1,0,1,0,1,0.9984937398054723
801084.0,1,1,1,0,1,0,0.17186056057526677
1015528.0,0,1,1,0,1,0,0.00031667956300345245
711225.0,0,1,0,1,0,1,0.9981536819977084
214967.0,1,0,0,1,0,1,0.9999989122979402
1004012.0,1,1,0,1,2,1,0.9264980775000089
1010571.0,1,0,0,1,0,1,0.999998382529052
1006903.0,1,0,0,1,0,1,0.9999986093085249
832054.0,1,0,0,1,2,1,0.9980674037354842
1003561.0,1,1,1,0,1,0,0.14861165149312852
279651.0,0,0,1,0,0,0,0.6685866068082019
1013804.0,1,1,0,1,2,1,0.8648120542935849
163167.0,1,1,1,0,2,1,0.5033131995766532
1014167.0,1,0,0,1,2,1,0.9994904046670052
153435.0,0,0,1,0,0,0,0.09331369431159177
1011439.0,0,1,0,1,0,1,0.9981406163371972
821162.0,1,0,0,1,0,1,0.9999995730610878
1023661.0,0,0,1,0,0,0,0.5929891073628317
1015320.0,0,1,0,1,1,0,0.0889947665171067
1019229.0,0,1,1,0,1,0,0.05061488458987514
157167.0,1,1,1,0,1,0,0.014111493921763193
864069.0,1,0,0,1,0,1,0.9999983151584239
1014342.0,1,1,0,1,1,0,0.0002506445926080417
1002048.0,1,1,0,1,2,1,0.37419692734945803
256619.0,1,0,0,1,0,1,0.999971608769057
272001.0,0,0,1,0,0,0,0.0067351370055765795
146902.0,1,1,0,1,1,0,0.5275805649722793
1013668.0,1,0,0,1,0,1,0.9999977824992762
1003279.0,1,1,0,1,1,0,0.020050692623604646
867317.0,0,1,0,1,0,1,0.9915124165720937
152924.0,1,1,0,1,1,0,1.370544993764195e-06
1021139.0,0,0,1,0,0,0,0.36776282630167134
1023466.0,0,0,1,0,0,0,0.1334824527942248
1013946.0,1,1,0,1,1,0,0.13399542484385346
864913.0,1,0,0,1,0,1,0.9999995432205401
1019210.0,0,1,0,1,0,1,0.9934937399287237
1007342.0,1,0,0,1,2,1,0.9998882784937192
851493.0,1,0,0,1,0,1,0.999998927187682
1023967.0,0,0,1,0,0,0,0.046591108122316684
247568.0,1,1,0,1,2,1,0.9793758806277887
144404.0,1,0,0,1,0,1,0.9999986457906362
1015453.0,0,1,0,1,0,1,0.9909903334999259
779147.0,1,0,0,1,2,1,0.20054671063760787
1009043.0,1,1,1,0,1,0,0.14679585170706574
862731.0,1,0,0,1,0,1,0.9999983151584239
840051.0,1,1,1,0,1,0,0.0018166764306338586
190404.0,0,1,0,1,0,1,0.9991678071843847
270627.0,1,1,1,0,1,0,0.08502940210487578
1015004.0,1,0,0,1,0,1,0.9999984823182794
780391.0,1,1,0,1,1,0,1.4471923590644694e-05
1005650.0,1,0,0,1,2,1,0.9965701796585303
1004526.0,1,1,0,1,1,0,0.011260737389487439
220727.0,1,0,0,1,2,1,0.9999896906567625
855001.0,0,1,0,1,2,1,0.07183129820181396
151790.0,1,1,1,0,1,0,0.034948884889774774
746783.0,1,1,0,1,2,1,0.9126589666607772
202361.0,1,1,0,1,2,1,0.9270999737750554
739098.0,0,0,1,0,0,0,0.4131509756047076
815662.0,0,1,0,1,0,1,0.998532868496603
