accountsapid,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Final_Churn,Final_churn_ProbabilityScore
1012768.0,1,0,1,1,1,0,0.0
1005705.0,1,1,1,0,1,0,0.16630768578681976
1019779.0,0,1,0,1,0,1,1.0
850888.0,1,1,0,1,1,0,0.0
1010614.0,1,1,1,0,1,0,0.3569373651598731
874355.0,0,0,1,0,1,0,0.0
1023625.0,0,0,1,0,0,0,0.0
280130.0,0,1,0,1,0,1,1.0
158939.0,0,0,1,0,0,0,0.0
1001073.0,1,1,0,1,1,0,0.0
1021339.0,0,0,1,0,0,0,0.0
163782.0,1,1,1,0,1,0,0.19734053437412713
154394.0,0,1,0,1,0,1,1.0
283383.0,0,1,0,1,0,1,1.0
167637.0,1,1,0,1,2,1,1.0
1023108.0,0,0,1,0,0,0,0.0
815545.0,1,0,0,1,0,1,1.0
191744.0,1,1,1,0,1,0,0.0
152240.0,1,1,1,0,1,0,0.45548187284805386
1022678.0,0,0,1,0,0,0,0.0
833875.0,1,1,0,1,1,0,0.15433310892323607
1002923.0,1,1,1,0,1,0,0.0
159438.0,1,1,1,0,1,0,0.33186435421858584
227598.0,0,0,1,0,0,0,0.0
1009043.0,1,1,1,0,1,0,0.05298209843207686
284479.0,1,1,0,1,1,0,0.00285266106442577
1022101.0,0,0,1,0,0,0,0.0
163459.0,1,1,1,0,1,0,0.026447081026506773
169006.0,1,1,1,0,1,0,0.2969396983315289
1006119.0,1,1,1,0,1,0,0.04519039279372754
209099.0,1,1,0,1,2,1,0.9125770202966774
282348.0,0,1,0,1,1,0,0.18077519240019238
823874.0,1,1,1,0,1,0,0.08430464742166988
204991.0,1,0,1,1,1,0,0.0
1005925.0,0,1,0,1,0,1,1.0
189320.0,1,1,0,1,2,1,0.9983496168582375
150607.0,0,0,1,0,2,1,1.0
169519.0,1,1,0,1,1,0,0.0
756783.0,0,1,0,1,0,1,1.0
721871.0,1,1,0,1,2,1,0.9983496168582375
241652.0,0,1,1,0,1,0,0.0
1015407.0,0,1,1,0,1,0,0.09938125003140613
829868.0,1,1,0,1,1,0,0.00285266106442577
701582.0,1,1,1,0,1,0,0.0
274158.0,0,1,0,1,0,1,1.0
269594.0,1,0,0,1,0,1,1.0
145037.0,1,1,1,0,1,0,0.0
1015734.0,0,1,0,1,1,0,0.02393574913026312
866632.0,0,0,1,0,0,0,0.0
225444.0,1,1,1,0,1,0,0.3419465926190472
738730.0,1,1,1,0,1,0,0.0
1011168.0,1,1,0,1,1,0,0.0
287367.0,1,0,0,1,0,1,1.0
860313.0,1,1,1,0,1,0,0.3342837039674602
1003809.0,1,1,1,0,1,0,0.3419465926190472
738996.0,1,1,0,1,2,1,0.8371723243144327
1017940.0,0,1,1,0,1,0,0.2546467484292818
149406.0,1,0,0,1,2,1,0.9999300699300698
214242.0,1,1,1,0,2,1,0.3063224381130819
1008500.0,0,1,0,1,0,1,1.0
779791.0,0,0,1,0,0,0,0.0
1011944.0,0,1,1,0,1,0,0.0
1011278.0,1,0,0,1,0,1,1.0
807359.0,1,1,1,0,1,0,0.31037675645364876
1005182.0,0,1,0,1,2,1,0.7617269651654552
151360.0,1,1,1,0,2,1,0.9567033229739421
858671.0,1,1,1,0,1,0,0.0
846066.0,1,0,0,1,0,1,1.0
1010201.0,1,1,1,0,1,0,0.34356111524070376
1016563.0,0,1,0,1,0,1,1.0
1021999.0,0,0,1,0,0,0,0.0
1017957.0,0,1,1,0,1,0,0.10288048380526135
836908.0,1,1,1,0,1,0,0.2802763155294316
1010692.0,1,0,1,1,1,0,0.7742727732842178
714088.0,0,0,1,0,0,0,0.0
1018522.0,0,1,0,1,0,1,1.0
283906.0,0,0,1,0,0,0,0.0
225042.0,1,1,1,0,1,0,0.0
165735.0,1,1,0,1,2,1,0.4303168138201333
242269.0,1,1,1,0,1,0,0.10441332347155377
1015934.0,0,1,1,0,1,0,0.4209199155773842
282606.0,1,0,0,1,2,1,0.9999300699300698
151192.0,0,1,0,1,0,1,1.0
150835.0,0,1,1,0,1,0,0.0
260692.0,1,1,1,0,1,0,9.569377990430622e-05
273447.0,1,1,0,1,1,0,0.0
1015796.0,0,1,0,1,0,1,1.0
1011274.0,1,0,0,1,0,1,1.0
152345.0,1,0,0,1,0,1,1.0
1003475.0,1,1,0,1,2,1,0.9714239542901839
1011992.0,1,0,0,1,0,1,1.0
1001625.0,1,0,0,1,0,1,1.0
165105.0,1,1,1,0,1,0,0.3535879452290831
158182.0,1,1,1,0,1,0,0.0
287087.0,1,0,0,1,2,1,0.9928571428571429
1015039.0,1,1,0,1,2,1,1.0
262255.0,0,1,0,1,0,1,1.0
145418.0,1,1,1,0,1,0,0.35705409822438305
152266.0,1,1,1,0,1,0,0.0
261003.0,1,1,1,0,1,0,0.06694555849777954
1002921.0,0,0,1,0,0,0,0.0
1001741.0,1,0,0,1,0,1,1.0
268814.0,1,0,1,1,1,0,0.0
1023241.0,0,0,1,0,0,0,0.0
152532.0,1,1,1,0,1,0,0.1777485194114245
862945.0,1,0,0,1,0,1,1.0
718823.0,1,0,0,1,2,1,1.0
1009606.0,1,0,0,1,0,1,1.0
204943.0,1,1,1,0,1,0,0.11610484350814308
835111.0,1,1,0,1,2,1,0.9996298142839336
266323.0,1,0,0,1,0,1,1.0
267795.0,1,0,0,1,0,1,1.0
1020867.0,0,1,1,0,1,0,9.569377990430622e-05
236972.0,1,0,0,1,2,1,0.999375
1005426.0,1,1,0,1,2,1,1.0
274378.0,1,1,1,0,2,1,0.9994285714285716
236910.0,0,1,0,1,0,1,1.0
1023524.0,0,0,1,0,0,0,0.0
193370.0,1,1,0,1,2,1,0.9383520643135118
1016984.0,0,1,0,1,0,1,1.0
1019183.0,0,1,0,1,0,1,1.0
253106.0,1,1,1,0,1,0,0.25387988770547393
792217.0,0,1,0,1,0,1,1.0
1011157.0,1,1,0,1,1,0,0.0
1016468.0,0,1,0,1,2,1,0.8316386666021525
242709.0,1,1,1,0,1,0,0.10851344168397592
279699.0,1,0,0,1,0,1,1.0
856100.0,1,1,0,1,1,0,0.0
845854.0,0,1,0,1,1,0,0.20771633976045742
757856.0,0,0,1,0,0,0,0.0
159016.0,0,1,0,1,0,1,1.0
164386.0,1,0,0,1,0,1,1.0
1023781.0,0,0,1,0,0,0,0.0
1013079.0,1,0,0,1,2,1,1.0
235051.0,1,0,0,1,0,1,1.0
246730.0,0,1,1,0,1,0,0.0
1022217.0,0,0,1,0,0,0,0.0
156636.0,1,1,0,1,1,0,0.0
217338.0,1,1,1,0,1,0,0.2147372424979704
1015524.0,0,1,0,1,0,1,1.0
1008312.0,1,0,0,1,2,1,1.0
827280.0,1,1,1,0,1,0,0.0
1015550.0,0,1,1,0,1,0,0.0
205055.0,1,1,1,0,1,0,0.275318497617708
1004138.0,1,0,1,1,1,0,0.42155467543874137
192670.0,1,1,1,0,1,0,0.0
860767.0,1,0,0,1,1,0,0.025
164246.0,1,1,1,0,1,0,9.569377990430622e-05
873656.0,0,0,1,0,2,1,0.5269739776645374
814290.0,1,0,0,1,2,1,1.0
857444.0,1,1,1,0,1,0,0.2311712826091566
705644.0,0,1,0,1,0,1,1.0
245859.0,0,1,0,1,2,1,1.0
1006116.0,0,1,1,0,2,1,0.37815126132753235
169078.0,0,1,1,0,1,0,0.0
1009254.0,0,1,0,1,0,1,1.0
224521.0,1,1,0,1,2,1,0.9379240975084479
864168.0,0,1,0,1,0,1,1.0
209081.0,1,1,1,0,2,1,0.9259818771810961
243559.0,1,0,1,1,1,0,0.0
1006777.0,1,1,1,0,1,0,0.2893567591585697
1023653.0,0,0,1,0,0,0,0.0
258279.0,1,1,0,1,2,1,0.9695279842900681
218467.0,1,1,1,0,1,0,0.11072067998907109
282835.0,1,1,1,0,1,0,0.0
869949.0,0,0,1,0,0,0,0.0
1003168.0,1,0,1,1,1,0,0.0
1022183.0,0,0,1,0,0,0,0.0
246419.0,0,1,0,1,0,1,1.0
708634.0,0,0,1,0,0,0,0.0
1009416.0,1,1,0,1,1,0,0.003405088062622309
267349.0,1,1,0,1,1,0,0.0
1019333.0,0,1,0,1,0,1,1.0
842913.0,1,1,0,1,2,1,1.0
288669.0,1,1,0,1,2,1,1.0
148990.0,0,1,0,1,0,1,1.0
1012794.0,1,1,0,1,2,1,1.0
160301.0,1,1,1,0,1,0,0.0
250592.0,0,1,0,1,0,1,1.0
1018429.0,0,1,0,1,2,1,1.0
1002525.0,1,1,0,1,2,1,0.9585653338114574
1014414.0,1,0,0,1,2,1,1.0
251436.0,1,0,0,1,0,1,1.0
1004664.0,1,0,0,1,2,1,0.9999300699300698
1015908.0,0,1,0,1,0,1,1.0
1019789.0,0,1,0,1,0,1,1.0
1003200.0,0,1,1,0,1,0,0.0
249736.0,1,0,0,1,0,1,1.0
154565.0,0,1,0,1,0,1,1.0
840612.0,0,1,0,1,0,1,1.0
773558.0,1,1,0,1,2,1,1.0
1010131.0,1,1,0,1,2,1,0.616953490500375
272455.0,1,0,0,1,0,1,1.0
159127.0,1,1,0,1,1,0,0.0
1002779.0,1,0,0,1,0,1,1.0
149138.0,1,1,1,0,1,0,0.0
158779.0,0,0,1,0,0,0,0.0
1009567.0,1,1,0,1,2,1,0.9996428571428573
160669.0,1,1,0,1,1,0,0.0
155108.0,1,1,1,0,2,1,0.37465549607351384
831975.0,1,0,0,1,0,1,1.0
164441.0,0,1,0,1,0,1,1.0
160187.0,0,1,0,1,0,1,1.0
711870.0,1,0,0,1,2,1,0.9999300699300698
163167.0,1,1,1,0,2,1,0.45548187284805386
1013075.0,1,0,0,1,2,1,1.0
269194.0,1,1,0,1,2,1,0.9637636745756886
17985.0,1,1,1,0,1,0,0.0
1018854.0,0,1,0,1,2,1,0.9999300699300698
268700.0,1,1,1,0,1,0,0.0
282796.0,0,1,0,1,0,1,1.0
839167.0,0,1,0,1,0,1,1.0
149380.0,1,0,1,1,1,0,0.0
1009443.0,1,1,1,0,1,0,0.0
151625.0,1,1,1,0,1,0,0.0
877065.0,0,0,1,0,0,0,0.0
164678.0,0,1,0,1,2,1,0.8126233132749953
820623.0,0,0,1,0,0,0,0.0
1012922.0,1,0,0,1,0,1,1.0
275818.0,1,0,0,1,0,1,1.0
1023225.0,0,0,1,0,1,0,0.595107767504409
165382.0,1,0,0,1,0,1,1.0
851528.0,1,0,1,1,1,0,0.0
1020089.0,0,1,1,0,1,0,9.569377990430622e-05
861814.0,1,1,0,1,1,0,0.392669222402094
261147.0,1,1,0,1,1,0,0.0
1008836.0,0,0,1,0,0,0,0.0
176737.0,1,1,1,0,2,1,0.3419465926190472
710114.0,1,0,0,1,0,1,1.0
211432.0,0,1,1,0,1,0,0.0
144062.0,1,1,1,0,2,1,0.3852623170006391
763058.0,1,1,1,0,1,0,0.0
1017764.0,0,1,1,0,1,0,0.0
279331.0,1,1,1,0,1,0,0.37465549607351384
1013350.0,1,1,0,1,2,1,1.0
846246.0,1,1,0,1,1,0,0.0
1023553.0,0,0,1,0,0,0,0.0
1023586.0,0,0,1,0,0,0,0.0
841995.0,0,0,1,0,0,0,0.0
862891.0,0,0,1,0,1,0,0.0
859308.0,1,0,0,1,0,1,1.0
765157.0,1,1,1,0,1,0,9.569377990430622e-05
279651.0,0,0,1,0,0,0,0.0
868816.0,0,1,1,0,1,0,0.08235951318020952
200220.0,1,1,0,1,1,0,0.6641576245580508
1009610.0,1,0,0,1,0,1,1.0
1012335.0,1,0,0,1,0,1,1.0
1000176.0,1,1,1,0,1,0,0.2969396983315289
874662.0,0,0,1,0,0,0,0.0
845807.0,1,0,0,1,0,1,1.0
1020739.0,0,0,1,0,0,0,0.0
1011637.0,1,0,0,1,0,1,1.0
813823.0,0,0,1,0,0,0,0.0
803968.0,1,0,0,1,0,1,1.0
