accountsapid,Single_Order,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Median_Days,3_years_cycle,Final_Churn,TotalOrderNumber,NumQtrsPerOrder,OrderChannel_NonDigital,OrderChannel_EProcurement,OrderChannel_ECommerce,Recency,Frequency,Monetary,RFM_Score,CountryCode,Average_years_taken_per order,Orders year wise,FirstOrderedDate_Year,FirstOrderedDate_Month,FirstOrderedDate_Week,FirstOrderedDate_Day,FirstOrderedDate_Dayofweek,LastOrderedDate_Year,LastOrderedDate_Month,LastOrderedDate_Week,LastOrderedDate_Day,LastOrderedDate_Dayofweek
17876.0,0,1,0,0,1,2,73.0,219.0,1,2.0,1.0,1,0,0,664.0,3.0,625.0,10,2,3.0,4,2019,9,36,3,1,2019,11,46,15,4
17882.0,0,1,1,1,0,1,20.0,60.0,0,33.0,1.0,1,0,0,881.0,93.0,41278.0,6,2,1.0,3,2019,1,5,29,1,2021,6,22,4,4
17985.0,0,1,1,1,0,1,174.0,522.0,0,5.0,3.0,1,1,0,872.0,52.0,11097.0,6,2,1.0,3,2019,2,6,7,3,2021,6,24,18,4
22286.0,0,1,1,1,0,1,21.0,63.0,0,36.0,1.0,1,0,1,893.0,87.0,29191.16,6,0,1.0,3,2019,1,3,17,3,2021,5,20,20,3
19780.0,0,1,1,1,0,1,42.0,126.0,0,16.0,1.0,1,0,0,850.0,34.0,22553.85,6,2,1.0,3,2019,3,9,1,4,2021,3,13,31,2
18232.0,0,1,1,1,0,2,20.0,60.0,1,23.0,1.0,1,0,0,873.0,66.0,39009.64,6,2,1.0,3,2019,2,6,6,2,2021,3,11,18,3
141631.0,0,1,1,1,0,1,11.0,33.0,0,35.0,1.0,1,1,0,875.0,296.0,145420.16999999998,6,1,1.0,3,2019,2,6,4,0,2021,6,24,17,3
19190.0,0,1,1,1,0,1,20.0,60.0,0,24.0,1.0,1,0,1,804.0,116.0,20708.930000000004,5,2,1.0,3,2019,4,16,16,1,2021,6,24,15,1
20154.0,0,1,0,0,1,2,38.0,114.0,1,3.0,1.0,1,0,0,865.0,5.0,2013.39,10,0,3.0,4,2019,2,7,14,3,2019,5,18,1,2
19064.0,0,1,0,0,1,2,87.0,261.0,1,3.0,2.0,1,0,0,777.0,5.0,1366.0,9,2,3.0,4,2019,5,20,13,0,2019,11,45,4,0
18851.0,0,1,1,1,0,1,117.0,351.0,0,8.0,2.0,1,0,0,879.0,15.0,8986.0,8,2,1.0,3,2019,1,5,31,3,2021,6,23,8,1
22010.0,0,1,1,1,0,1,48.0,144.0,0,16.0,1.0,1,1,0,885.0,81.0,15514.26,6,0,1.0,3,2019,1,4,25,4,2021,6,22,1,1
21034.0,1,0,0,1,0,0,0.0,0.0,0,1.0,-1.0,1,0,0,41.0,3.0,609.23,8,0,3.0,6,2021,5,20,18,1,2021,5,20,18,1
21600.0,0,1,1,1,0,1,34.0,102.0,0,19.0,1.0,1,0,0,875.0,78.0,18412.37,6,0,1.0,3,2019,2,6,4,0,2021,4,16,20,1
19549.0,0,0,1,1,0,2,42.0,126.0,1,9.0,1.0,1,1,0,523.0,38.0,16201.830000000002,4,2,2.0,2,2020,1,4,22,2,2021,2,6,12,4
18345.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,0,0,1,822.0,1.0,909.0,10,2,3.0,4,2019,3,13,29,4,2019,3,13,29,4
22629.0,0,1,1,0,1,2,85.0,255.0,1,6.0,2.0,1,0,0,903.0,12.0,7453.84,8,0,2.0,0,2019,1,2,7,0,2020,7,28,8,2
18858.0,0,0,1,0,1,2,5.0,15.0,1,2.0,-1.0,1,0,0,417.0,2.0,1379.4,9,2,3.0,5,2020,5,19,7,3,2020,5,20,12,1
19383.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,0,0,1,655.0,1.0,661.5,10,2,3.0,4,2019,9,37,12,3,2019,9,37,12,3
20195.0,0,1,1,1,0,1,30.0,90.0,0,13.0,2.0,1,0,0,837.0,102.0,14823.850000000002,5,0,1.0,3,2019,3,11,14,3,2021,4,16,23,4
19077.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,671.0,2.0,2935.2,9,2,3.0,4,2019,8,35,27,1,2019,8,35,27,1
141667.0,0,1,1,1,0,1,27.0,81.0,0,25.0,1.0,1,0,0,901.0,267.0,38353.85,6,1,1.0,3,2019,1,2,9,2,2021,4,17,30,4
141620.0,0,1,1,1,0,1,19.0,57.0,0,41.0,1.0,1,0,0,860.0,440.0,117726.05,6,1,1.0,3,2019,2,8,19,1,2021,5,20,18,1
141647.0,0,1,1,1,0,1,46.0,138.0,0,17.0,1.0,1,1,0,833.0,108.0,53641.15,5,1,1.0,3,2019,3,12,18,0,2021,3,11,15,0
19599.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,0,0,1,783.0,1.0,247.5,11,2,3.0,4,2019,5,19,7,1,2019,5,19,7,1
23244.0,0,1,1,1,0,1,43.0,129.0,0,7.0,2.0,1,0,0,858.0,47.0,7620.57,7,2,1.0,3,2019,2,8,21,3,2021,4,14,7,2
20719.0,0,1,0,1,1,1,757.0,2271.0,0,2.0,8.0,1,0,1,865.0,2.0,54.54,12,0,2.0,1,2019,2,7,14,3,2021,3,10,12,4
20438.0,1,0,0,1,0,0,0.0,0.0,0,1.0,-1.0,1,0,0,133.0,2.0,1790.77,8,0,3.0,6,2021,2,7,15,0,2021,2,7,15,0
19642.0,0,1,0,0,1,2,181.0,543.0,1,2.0,2.0,1,0,1,797.0,2.0,807.5,10,2,3.0,4,2019,4,17,23,1,2019,10,43,21,0
20231.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,221.0,1.0,777.38,9,0,3.0,5,2020,11,47,19,3,2020,11,47,19,3
21058.0,0,0,1,1,0,1,44.0,132.0,0,7.0,1.0,1,0,0,507.0,219.0,56976.91,4,0,2.0,2,2020,2,6,7,4,2021,3,12,23,1
21603.0,0,0,1,1,0,1,166.0,498.0,0,2.0,2.0,1,0,0,278.0,178.0,24101.91,3,0,2.0,2,2020,9,39,23,2,2021,3,10,8,0
20899.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,788.0,7.0,332.97,10,0,3.0,4,2019,5,18,2,3,2019,5,18,2,3
20933.0,0,1,0,0,1,2,37.0,111.0,1,3.0,-1.0,1,0,0,634.0,3.0,1673.84,8,0,3.0,4,2019,10,40,3,3,2019,12,51,16,0
20408.0,0,0,1,0,1,1,72.0,216.0,0,3.0,1.0,1,0,0,339.0,7.0,8904.84,6,0,3.0,5,2020,7,30,24,4,2020,12,51,15,1
141687.0,0,1,1,1,0,1,21.0,63.0,0,24.0,1.0,1,0,0,808.0,87.0,40810.4,5,1,1.0,3,2019,4,15,12,4,2021,6,23,10,3
141665.0,0,1,1,1,0,1,8.0,24.0,0,87.0,1.0,1,0,0,901.0,529.0,151109.42000000007,6,1,1.0,3,2019,1,2,9,2,2021,6,24,16,2
21594.0,0,1,1,1,0,1,83.0,249.0,0,9.0,2.0,1,0,0,899.0,62.0,46970.82000000001,6,0,1.0,3,2019,1,2,11,4,2021,6,22,4,4
21701.0,0,1,0,0,1,2,6.0,18.0,1,2.0,-1.0,1,0,0,684.0,13.0,2083.07,8,0,3.0,4,2019,8,33,14,2,2019,8,34,20,1
21886.0,0,1,1,0,1,1,250.0,750.0,0,4.0,4.0,1,0,0,831.0,8.0,3578.46,7,0,2.0,0,2019,3,12,20,2,2020,11,47,16,0
141720.0,0,1,1,1,0,1,16.0,48.0,0,45.0,1.0,1,0,0,900.0,456.0,150265.25999999998,6,1,1.0,3,2019,1,2,10,3,2021,6,24,14,0
20149.0,0,1,1,0,1,2,71.0,213.0,1,6.0,2.0,1,0,1,901.0,10.0,3090.76,8,0,2.0,0,2019,1,2,9,2,2020,9,39,22,1
141616.0,0,1,0,1,1,1,826.0,2478.0,0,2.0,9.0,1,0,1,833.0,2.0,466.75,11,1,2.0,1,2019,3,12,18,0,2021,6,25,21,0
23628.0,0,1,0,1,1,1,157.0,471.0,0,5.0,2.0,1,0,1,830.0,27.0,19463.84,6,0,2.0,1,2019,3,12,21,3,2021,4,15,15,3
20461.0,0,1,0,1,1,1,374.0,1122.0,0,3.0,4.0,1,0,0,796.0,4.0,1849.99,9,0,2.0,1,2019,4,17,24,2,2021,5,19,11,1
21570.0,1,1,0,0,1,0,0.0,0.0,1,2.0,-1.0,0,0,1,782.0,6.0,953.24,9,0,3.0,4,2019,5,19,8,2,2019,5,19,8,2
20355.0,0,1,0,0,1,2,34.0,102.0,1,2.0,-1.0,1,0,0,620.0,5.0,996.16,8,0,3.0,4,2019,10,42,17,3,2019,11,47,20,2
141737.0,0,1,1,1,0,1,9.0,27.0,0,112.0,1.0,1,1,0,881.0,3029.0,382603.5000000001,6,1,1.0,3,2019,1,5,29,1,2021,6,25,21,0
22289.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,306.0,3.0,669.23,8,0,3.0,5,2020,8,35,26,2,2020,8,35,26,2
22688.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,385.0,2.0,1524.0,9,0,3.0,5,2020,6,24,8,0,2020,6,24,8,0
141625.0,0,1,0,0,1,2,44.0,132.0,1,5.0,1.0,1,0,0,811.0,130.0,13477.0,5,1,3.0,4,2019,4,15,9,1,2019,9,38,18,2
141639.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,882.0,2.0,1680.0,11,1,3.0,4,2019,1,5,28,0,2019,1,5,28,0
141705.0,1,0,0,1,0,0,0.0,0.0,0,1.0,-1.0,0,0,1,105.0,2.0,305.1,9,1,3.0,6,2021,3,11,15,0,2021,3,11,15,0
141727.0,0,1,1,1,0,2,18.0,54.0,1,32.0,1.0,1,1,0,838.0,120.0,61419.48,5,1,1.0,3,2019,3,11,13,2,2021,5,18,4,1
141849.0,0,1,1,1,0,1,18.0,54.0,0,24.0,1.0,1,1,0,878.0,122.0,67015.5,6,1,1.0,3,2019,2,5,1,4,2021,5,20,20,3
141618.0,0,1,1,0,1,2,61.0,183.0,1,12.0,1.0,1,0,0,857.0,154.0,11331.9,6,1,2.0,0,2019,2,8,22,4,2020,12,49,1,1
22494.0,0,1,0,0,1,2,126.0,378.0,1,2.0,1.0,1,0,1,782.0,7.0,1390.76,9,0,3.0,4,2019,5,19,8,2,2019,9,37,11,2
141691.0,0,1,1,1,0,1,16.0,48.0,0,52.0,1.0,1,0,0,881.0,1624.0,228200.03999999995,6,1,1.0,3,2019,1,5,29,1,2021,6,23,10,3
141765.0,0,1,1,1,0,1,42.0,126.0,0,24.0,1.0,1,0,0,889.0,411.0,121874.0,6,1,1.0,3,2019,1,4,21,0,2021,4,17,30,4
141747.0,0,1,1,1,0,1,12.0,36.0,0,64.0,1.0,1,1,0,881.0,1335.0,192877.38,6,1,1.0,3,2019,1,5,29,1,2021,6,22,2,2
141649.0,0,1,0,0,1,2,184.0,552.0,1,2.0,2.0,1,0,0,874.0,3.0,557.52,11,1,3.0,4,2019,2,6,5,1,2019,8,32,8,3
141775.0,0,1,1,1,0,2,14.0,42.0,1,57.0,1.0,1,1,0,893.0,389.0,150973.00999999998,6,1,1.0,3,2019,1,3,17,3,2021,5,18,7,4
143950.0,0,1,1,1,0,1,29.0,87.0,0,24.0,1.0,1,1,1,888.0,67.0,40366.36,6,2,1.0,3,2019,1,4,22,1,2021,5,20,18,1
22450.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,312.0,1.0,223.08,9,0,3.0,5,2020,8,34,20,3,2020,8,34,20,3
141685.0,0,1,1,1,0,1,49.0,147.0,0,9.0,1.0,0,1,0,698.0,176.0,37392.28,5,1,1.0,3,2019,7,31,31,2,2021,6,22,4,4
141683.0,0,0,1,1,0,1,431.0,1293.0,0,2.0,4.0,1,0,1,452.0,3.0,2359.0,8,1,2.0,2,2020,4,14,2,3,2021,6,23,7,0
141827.0,0,1,1,1,0,1,7.0,21.0,0,109.0,1.0,1,1,0,901.0,473.0,227618.92,6,1,1.0,3,2019,1,2,9,2,2021,6,24,17,3
141677.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,657.0,75.0,18865.9,4,1,3.0,4,2019,9,37,10,1,2019,9,37,10,1
143965.0,0,1,1,1,0,1,18.0,54.0,0,25.0,1.0,0,1,0,868.0,239.0,25935.410000000003,6,2,1.0,3,2019,2,7,11,0,2021,5,20,18,1
141745.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,0,1,0,181.0,1.0,810.57,8,1,3.0,5,2020,12,53,29,1,2020,12,53,29,1
141693.0,0,1,1,0,1,1,225.0,675.0,0,2.0,3.0,1,0,0,572.0,2.0,1890.0,9,1,2.0,0,2019,12,49,4,2,2020,7,29,16,3
144046.0,0,1,1,1,0,2,6.0,18.0,1,127.0,1.0,1,1,0,906.0,296.0,135355.19999999992,6,2,1.0,3,2019,1,1,4,4,2021,4,15,15,3
144104.0,0,1,1,0,1,2,52.0,156.0,1,10.0,1.0,1,0,1,818.0,20.0,9217.7,7,2,2.0,0,2019,4,14,2,1,2020,8,34,19,2
141695.0,0,1,1,0,1,2,118.0,354.0,1,3.0,3.0,1,0,0,738.0,10.0,4852.25,7,1,2.0,0,2019,6,25,21,4,2020,2,7,13,3
144062.0,0,1,1,1,0,2,11.0,33.0,1,56.0,1.0,1,1,1,900.0,226.0,58717.13999999999,6,2,1.0,3,2019,1,2,10,3,2021,5,20,21,4
144245.0,0,1,1,1,0,2,3.0,9.0,1,261.0,1.0,1,0,0,907.0,1329.0,331334.3799999999,6,2,1.0,3,2019,1,1,3,3,2021,6,23,11,4
144201.0,0,1,1,1,0,2,23.0,69.0,1,14.0,1.0,1,0,0,844.0,36.0,22392.75,5,2,1.0,3,2019,3,10,7,3,2021,2,8,23,1
143968.0,0,0,1,0,1,2,41.0,123.0,1,2.0,-1.0,1,1,0,433.0,2.0,586.04,10,2,3.0,5,2020,4,17,21,1,2020,6,23,1,0
144088.0,1,0,1,0,1,0,0.0,0.0,1,1.0,-1.0,0,0,1,523.0,5.0,345.6,9,2,3.0,5,2020,1,4,22,2,2020,1,4,22,2
144257.0,1,1,0,0,1,0,0.0,0.0,1,1.0,-1.0,1,0,0,860.0,1.0,728.0,12,2,3.0,4,2019,2,8,19,1,2019,2,8,19,1
143999.0,0,1,1,1,0,1,67.0,201.0,0,5.0,2.0,1,0,0,775.0,9.0,9357.0,7,2,1.0,3,2019,5,20,15,2,2021,1,1,6,2
