accountsapid,Single_Order,2019,2020,2021,Churn_Rule_year_wise,Churn_Rule_avg_cycle,Median_Days,3_years_cycle,Final_Churn,TotalOrderNumber,FirstOrderedDate,LastOrderedDate,NumQtrsPerOrder,NumYearsOfUser,OrderChannel_NonDigital,OrderChannel_EProcurement,OrderChannel_ECommerce,Recency,Frequency,Monetary,RFM_Score,CountryCode
17876.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,73.0,219.0,Will_Churn,2.0,2019-09-03,2019-11-15,1.0,3.0,1.0,0.0,0.0,664.0,3.0,625.0,10,US
17882.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,20.0,60.0,WillNot_Churn,33.0,2019-01-29,2021-06-04,1.0,1.0,1.0,0.0,0.0,881.0,93.0,41278.0,6,US
17985.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,174.0,522.0,WillNot_Churn,5.0,2019-02-07,2021-06-18,3.0,1.0,1.0,1.0,0.0,872.0,52.0,11097.0,6,US
22286.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,21.0,63.0,WillNot_Churn,36.0,2019-01-17,2021-05-20,1.0,1.0,1.0,0.0,1.0,893.0,87.0,29191.159999999996,6,CA
19780.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,42.0,126.0,WillNot_Churn,16.0,2019-03-01,2021-03-31,1.0,1.0,1.0,0.0,0.0,850.0,34.0,22553.85,6,US
18232.0,0.0,1.0,1.0,1.0,WillNot_Churn,Will_Churn,20.0,60.0,Will_Churn,23.0,2019-02-06,2021-03-18,1.0,1.0,1.0,0.0,0.0,873.0,66.0,39009.64,6,US
141631.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,11.0,33.0,WillNot_Churn,35.0,2019-02-04,2021-06-17,1.0,1.0,1.0,1.0,0.0,875.0,296.0,145420.16999999998,6,PR
19190.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,20.0,60.0,WillNot_Churn,24.0,2019-04-16,2021-06-15,1.0,1.0,1.0,0.0,1.0,804.0,116.0,20708.930000000004,5,US
20154.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,38.0,114.0,Will_Churn,3.0,2019-02-14,2019-05-01,1.0,3.0,1.0,0.0,0.0,865.0,5.0,2013.3899999999999,10,CA
19064.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,87.0,261.0,Will_Churn,3.0,2019-05-13,2019-11-04,2.0,3.0,1.0,0.0,0.0,777.0,5.0,1366.0,9,US
18851.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,117.0,351.0,WillNot_Churn,8.0,2019-01-31,2021-06-08,2.0,1.0,1.0,0.0,0.0,879.0,15.0,8986.0,8,US
22010.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,48.0,144.0,WillNot_Churn,16.0,2019-01-25,2021-06-01,1.0,1.0,1.0,1.0,0.0,885.0,81.0,15514.26,6,CA
21034.0,1.0,0.0,0.0,1.0,WillNot_Churn,-1,0.0,0.0,WillNot_Churn,1.0,2021-05-18,2021-05-18,-1.0,3.0,1.0,0.0,0.0,41.0,3.0,609.23,8,CA
21600.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,34.0,102.0,WillNot_Churn,19.0,2019-02-04,2021-04-20,1.0,1.0,1.0,0.0,0.0,875.0,78.0,18412.37,6,CA
19549.0,0.0,0.0,1.0,1.0,WillNot_Churn,Will_Churn,42.0,126.0,Will_Churn,9.0,2020-01-22,2021-02-12,1.0,2.0,1.0,1.0,0.0,523.0,38.0,16201.830000000002,4,US
18345.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-03-29,2019-03-29,-1.0,3.0,0.0,0.0,1.0,822.0,1.0,909.0,10,US
22629.0,0.0,1.0,1.0,0.0,Will_Churn,Will_Churn,85.0,255.0,Will_Churn,6.0,2019-01-07,2020-07-08,2.0,2.0,1.0,0.0,0.0,903.0,12.0,7453.84,8,CA
18858.0,0.0,0.0,1.0,0.0,Will_Churn,Will_Churn,5.0,15.0,Will_Churn,2.0,2020-05-07,2020-05-12,-1.0,3.0,1.0,0.0,0.0,417.0,2.0,1379.4,9,US
19383.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-09-12,2019-09-12,-1.0,3.0,0.0,0.0,1.0,655.0,1.0,661.5,10,US
20195.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,30.0,90.0,WillNot_Churn,13.0,2019-03-14,2021-04-23,2.0,1.0,1.0,0.0,0.0,837.0,102.0,14823.850000000002,5,CA
19077.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-08-27,2019-08-27,-1.0,3.0,1.0,0.0,0.0,671.0,2.0,2935.2,9,US
141667.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,27.0,81.0,WillNot_Churn,25.0,2019-01-09,2021-04-30,1.0,1.0,1.0,0.0,0.0,901.0,267.0,38353.85,6,PR
141620.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,19.0,57.0,WillNot_Churn,41.0,2019-02-19,2021-05-18,1.0,1.0,1.0,0.0,0.0,860.0,440.0,117726.05,6,PR
141647.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,46.0,138.0,WillNot_Churn,17.0,2019-03-18,2021-03-15,1.0,1.0,1.0,1.0,0.0,833.0,108.0,53641.15,5,PR
19599.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-05-07,2019-05-07,-1.0,3.0,0.0,0.0,1.0,783.0,1.0,247.5,11,US
23244.0,0.0,1.0,1.0,1.0,WillNot_Churn,WillNot_Churn,43.0,129.0,WillNot_Churn,7.0,2019-02-21,2021-04-07,2.0,1.0,1.0,0.0,0.0,858.0,47.0,7620.57,7,US
20719.0,0.0,1.0,0.0,1.0,Will_Churn,WillNot_Churn,757.0,2271.0,WillNot_Churn,2.0,2019-02-14,2021-03-12,8.0,2.0,1.0,0.0,1.0,865.0,2.0,54.54,12,CA
20438.0,1.0,0.0,0.0,1.0,WillNot_Churn,-1,0.0,0.0,WillNot_Churn,1.0,2021-02-15,2021-02-15,-1.0,3.0,1.0,0.0,0.0,133.0,2.0,1790.77,8,CA
19642.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,181.0,543.0,Will_Churn,2.0,2019-04-23,2019-10-21,2.0,3.0,1.0,0.0,1.0,797.0,2.0,807.5,10,US
20231.0,1.0,0.0,1.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2020-11-19,2020-11-19,-1.0,3.0,1.0,0.0,0.0,221.0,1.0,777.38,9,CA
21058.0,0.0,0.0,1.0,1.0,WillNot_Churn,WillNot_Churn,44.0,132.0,WillNot_Churn,7.0,2020-02-07,2021-03-23,1.0,2.0,1.0,0.0,0.0,507.0,219.0,56976.91,4,CA
21603.0,0.0,0.0,1.0,1.0,WillNot_Churn,WillNot_Churn,166.0,498.0,WillNot_Churn,2.0,2020-09-23,2021-03-08,2.0,2.0,1.0,0.0,0.0,278.0,178.0,24101.91,3,CA
20899.0,1.0,1.0,0.0,0.0,Will_Churn,-1,0.0,0.0,Will_Churn,1.0,2019-05-02,2019-05-02,-1.0,3.0,1.0,0.0,0.0,788.0,7.0,332.97,10,CA
20933.0,0.0,1.0,0.0,0.0,Will_Churn,Will_Churn,37.0,111.0,Will_Churn,3.0,2019-10-03,2019-12-16,-1.0,3.0,1.0,0.0,0.0,634.0,3.0,1673.8400000000001,8,CA
20408.0,0.0,0.0,1.0,0.0,Will_Churn,WillNot_Churn,72.0,216.0,WillNot_Churn,3.0,2020-07-24,2020-12-15,1.0,3.0,1.0,0.0,0.0,339.0,7.0,8904.84,6,CA
